Token,Ticker,Mint,Pyth_Account,Decimals,Weight_BPS
Rocket Lab,RKLBon,E9VQY3VnrpVSekFByzRmfeK1kxgM3UiKCoVVbdUondo,H2tjxYMHGVN9F8S7ewVaECDZtRpVxgfrtAMEGtRDvqYe,9,2800
UnitedHealth,UNHon,kPBGL8vAwKN3UGmr9cjkM2dU79SC3nzTC9yu7F8ondo,HBCUey2zP688M1XcH5CXj5sr7P9YqNDb6ERTnjDziKLW,9,2600
Hims & Hers,HIMSon,bdh3njeo19d2TBLAKTGvCWdSoArfVw8uZBAJHY4ondo,8fnWtZJsXpe8T6xRxb5qNLWrMYGQxphw4mMyPtAkPmq6,9,1900
Vertex Pharmaceuticals,VRTXon,FL7QzUq58pvkDxkftJm7RqRWgqYEFZwXuvAMsUnondo,CmuiU9H1WmLZrPnfJLZ4DuktUJwDU3mpKFosnihAWbTn,9,1700
Vanguard Real Estate,VNQon,F3dMJ9H137YUNc9cpN3gBWDSq4MSRbTFtojH65Uondo,2hxcaArrSKpNsUmeGr7dsDHsuYxUcxRpCWkiCfStp3Du,9,1000
