Token,Ticker,Mint,Pyth_Account,Decimals,Weight_BPS
Alphabet,GOOGLx,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,HShKFQqhYkUiXpVyyLmrAALXwWqHB7ikLmPbrwJzpRNh,8,1600
NVIDIA,NVDAx,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,2w1Tg1XTZbUib7srfRoStJ4v5JXVsK7roQEGMsMaGZFC,8,1500
Broadcom,AVGOon,1FWZtdWN7y38BSXGzbs8D6Shk88oL9atDNgbVz9ondo,2jgfs5FsDQkdCrgcCKHEd7p9KNtKAyWznMSyu21WbFgS,9,1400
Amazon,AMZNx,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,GBkjjFxbaFY9TBHpAPypk5JBchpPPve2jskAcd9zuFNd,8,1200
Meta,METAon,fDxs5y12E7x7jBwCKBXGqt71uJmCWsAQ3Srkte6ondo,GsKrMNoa1Mqjpif4SYk2WjdduWZP699hXRdP51yBM6K2,9,1100
Microsoft,MSFTx,XspzcW1PRtgf6Wj92HCiZdjzKCyFekVD8P5Ueh3dRMX,7VYuuJxz8w2rLA9tJG2KZ9T1fSMcjC7uECoYA6nDaqtK,8,1100
Apple,AAPLx,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,DJ2FyTgUAkEtXW3U5P9PF19meFTRtW4ZWKKFgACfVbUy,8,1100
CrowdStrike,CRWDon,cdKfoNjbXgnSuxvoajhtH3uixfZhq1YXhQsS1Rwondo,8zWQVp313FFdanpZoQeDohp5HE7ugoJE2VaX4sYPHj4e,9,1000
