Token,Ticker,Mint,Pyth_Account,Decimals,Weight_BPS
Eli Lilly,LLYx,Xsnuv4omNoHozR6EEW5mXkw8Nrny5rB3jVfLqi6gKMH,AmhgzXb37V3YegqdXoDTGL5QVhSV83dESyadboJwc7sQ,8,2800
Novo Nordisk,NVOx,XsfAzPzYrYjd4Dpa9BU3cusBsvWfVB9gBcyGC87S57n,96q5heUgagmBhXZLBYCk3dvbhoPewy7tLbdVsJvp1Jq,8,2300
Thermo Fisher,TMOx,Xs8drBWy3Sd5QY3aifG9kt9KFs2K3PGZmx7jWrsrk57,5f9eekiFMRESBFgdCS7CPaJGtt6kZAPsMtaFraeGjDRD,8,1700
Danaher,DHRx,Xseo8tgCZfkHxWS9xbFYeKFyMSbWEvZGFV1Gh53GtCV,54f3QWxFrEDByLpuen8k9qaSTYiCRcAcpzWcH6pbZ7Ht,8,1500
Vertex Pharmaceuticals,VRTXon,FL7QzUq58pvkDxkftJm7RqRWgqYEFZwXuvAMsUnondo,CmuiU9H1WmLZrPnfJLZ4DuktUJwDU3mpKFosnihAWbTn,9,1200
BIO Protocol,BIO,bioJ9JTqW62MLz7UKHU69gtKhPpGi1BQhccj2kmSvUJ,6KyngSTLXWMNfdNqypV386z34KShV2er8RVYqx8naE1D,9,500
