Token,Ticker,Mint,Pyth_Account,Decimals,Weight_BPS
Robinhood,HOODx,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,5tZizzQN776ZWTibPJKecjk1DkTSDHu47dXM3SxR5D5i,8,2600
Coinbase,COINx,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,91JXaWGHr57awfqhXQP2TxrkLX6CpvtBaaRjz1PEQqXn,8,2600
Circle,CRCLx,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,7zWGncBP5aGTDmEK7Ej4GYwGc2kXFHZJZFxmq28ocCaG,8,2100
Strategy,MSTRx,XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ,HJGvGyWrAXdZPG4Q7LNkkKja72FDkJW7ixuyg3u6vZyP,8,2100
Strategy Prf Series A,STRCx,Xs78JED6PFZxWc2wCEPspZW9kL3Se5J7L5TChKgsidH,GcEfvXPFyoWLfZeKCoA2gRwLCQds49anRfVzVRcU9cai,8,600
