Token,Ticker,Mint,Pyth_Account,Decimals,Weight_BPS
NVIDIA,NVDAx,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,2w1Tg1XTZbUib7srfRoStJ4v5JXVsK7roQEGMsMaGZFC,8,2200
Alphabet,GOOGLx,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,HShKFQqhYkUiXpVyyLmrAALXwWqHB7ikLmPbrwJzpRNh,8,1700
Amazon,AMZNx,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,GBkjjFxbaFY9TBHpAPypk5JBchpPPve2jskAcd9zuFNd,8,1300
Apple,AAPLx,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,DJ2FyTgUAkEtXW3U5P9PF19meFTRtW4ZWKKFgACfVbUy,8,1000
Meta,METAx,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,GsKrMNoa1Mqjpif4SYk2WjdduWZP699hXRdP51yBM6K2,8,1000
Palantir,PLTRx,XsoBhf2ufR8fTyNSjqfU71DYGaE6Z3SUGAidpzriAA4,7RP45Z6dsTrHQakMg7xha1RLZGk1x2pVViBjpUMpzdBK,8,1000
Microsoft,MSFTx,XspzcW1PRtgf6Wj92HCiZdjzKCyFekVD8P5Ueh3dRMX,7VYuuJxz8w2rLA9tJG2KZ9T1fSMcjC7uECoYA6nDaqtK,8,1000
Tesla,TSLAx,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,E8WFH8brgP58arcuW2wwsPHiomYrSvrgWTsRLZLAEZUQ,8,800
