date,open,high,low,close
2026-02-02,95.95352,95.98104,88.70058,89.898
2026-02-03,90.10037,90.17571,84.94507,87.00777
2026-02-04,86.24185,86.24185,77.66469,80.57824
2026-02-05,77.8272,79.29472,71.945,72.67
2026-02-06,77.73942,84.2725,77.46921,82.87294
2026-02-09,84.43143,88.58004,83.20002,86.58039
2026-02-10,86.19365,88.18948,85.42,85.67632
2026-02-11,78.07654,79.59,74.30697,77.98531
2026-02-12,78.78353,78.78353,70.46504,71.12154
2026-02-13,71.44554,77.03999,71.44554,75.96538
2026-02-17,75.29723,76.68222,72.91802,75.445
2026-02-18,75.2399,78.22143,74.22,75.21501
2026-02-19,75.14041,76.08732,73.68001,75.6625
2026-02-20,75.45569,77.98105,75.26,76.13469
2026-02-23,74.81469,74.84,71.45001,71.78679
2026-02-24,71.56359,73.86583,69.26,73.38501
2026-02-25,75.61253,78.09849,74.72043,77.5363
2026-02-26,77.17021,79.54601,76.625,79.4155
2026-02-27,76.90939,77.68323,74.86,75.81484
2026-03-02,73.65236,79.49112,73.19981,78.7622
2026-03-03,74.06473,77.37653,72.31393,76.035
2026-03-04,77.14619,83.80875,77.14619,82.23982
2026-03-05,82.19377,84.459,78.58,80.54
2026-03-06,78.01512,78.97999,76.43,77.08
2026-03-09,75.94425,79.60001,75.94425,79.351
2026-03-10,80.19517,80.37102,77.71665,78.51
2026-03-11,78.28536,79.70072,76.76355,78.67762
2026-03-12,77.452,77.79489,75.11589,76.12973
2026-03-13,76.7825,77.41201,72.81076,73.38702
2026-03-16,75.12934,75.763,74.145,75.33651
2026-03-17,75.359,77.69,75.359,77.37502
2026-03-18,76.1159,77.22102,74.86499,74.90974
2026-03-19,72.28016,75.13992,71.8098,74.17
2026-03-20,73.38953,73.57503,69.93,70.94435
2026-03-23,71.86,73.58507,71.12287,72.47781
2026-03-24,71.60002,71.79007,68.61564,69.05653
2026-03-25,71.9518,74.56449,71.78249,72.6206
2026-03-26,71.53938,73.21076,69.72,70.372
2026-03-27,69.01534,69.01534,65.91953,66.0816
2026-03-30,66.91637,67.85257,63.53646,65.1475
2026-03-31,65.87644,69.37002,65.22003,69.30809
2026-04-01,71.20522,71.30499,69.15055,70.11748
2026-04-02,67.2,70.03979,65.60817,68.914
2026-04-06,69.44475,70.8,68.80723,69.74215
2026-04-07,68.34352,69.64507,66.65,69.64507
2026-04-08,76.80596,77.54411,71.32502,71.83944
2026-04-09,71.60079,72.43799,68.8043,70.14396
2026-04-10,70.11243,70.76002,68.32735,69.21504
2026-04-13,68.31759,71.75941,67.93205,71.75941
2026-04-14,75.00125,79.2695,75.00125,79.13064
2026-04-15,83.63629,87.52688,81.69,87.36501
2026-04-16,89.10585,89.15011,83.9256,86.81
2026-04-17,87.1122,93.308,87.1122,90.79454
2026-04-20,89.61976,92.21463,88.23506,91.2775
2026-04-21,91.05679,91.18373,86.2251,86.42119
2026-04-22,89.29556,90.12,87.5,88.4525
2026-04-23,86.695,87.565,81.81501,83.54839
2026-04-24,84.95953,84.97249,82.85002,84.695
2026-04-27,84.27233,85.62215,83.13598,83.94501
2026-04-28,81.87751,83.11,80.98741,82.035
2026-04-29,72.34382,73.545,69.95,71.18499
2026-04-30,71.34936,73.85014,71.18733,73.03007
2026-05-01,74.07317,75.265,73.11002,73.6775
