date,open,high,low,close
2026-04-06,295.91158,300.59444,295.58638,299.96499
2026-04-07,302.61171,305.56,297.75713,305.49499
2026-04-08,319.97813,321.27264,315.1359,317.288
2026-04-09,315.8169,319.49972,311.12707,318.58511
2026-04-10,319.45768,321.68573,316.35006,317.17063
2026-04-13,317.07665,321.6075,315.52004,321.34475
2026-04-14,324.90003,333.23825,323.81221,332.75901
2026-04-15,332.86,337.46691,331.01,337.10053
2026-04-16,338.31125,339.49555,334.57001,336.042
2026-04-17,337.31896,342.29466,336.27976,341.65993
2026-04-20,340.78184,340.86845,336.65001,337.44
2026-04-21,337.7192,339.30615,331.62394,332.18243
2026-04-22,336.89052,339.7709,335.27034,339.36
2026-04-23,341.18,341.92942,336.23355,338.93504
2026-04-24,338.33589,345.18,335.5,344.31984
2026-04-27,345.24095,353.15497,342.86008,350.35003
2026-04-28,348.69104,352.347,346.179,349.57523
2026-04-29,347.44901,355.71335,344.45775,349.89256
2026-04-30,373.96825,385.75905,365.93424,385.12056
2026-05-01,381.53026,386.60047,379.24917,385.83
