date,open,high,low,close
2026-04-06,123.73892,128.405,123.28811,127.6959
2026-04-07,127.30694,127.30694,121.16644,123.76864
2026-04-08,133.35692,133.98666,126.17762,128.292
2026-04-09,128.22589,132.15259,125.85952,128.92753
2026-04-10,129.68814,131.97699,127.44041,128.57133
2026-04-13,126.94472,132.43319,125.30226,132.37565
2026-04-14,137.7167,143.6528,136.38001,137.44997
2026-04-15,139.24779,143.5775,137.10499,143.54
2026-04-16,143.21,149.086,139.46498,149.0415
2026-04-17,152.7162,173.01467,152.7162,166.545
2026-04-20,162.70879,171.04,160.85355,170.83381
2026-04-21,170.59555,172.69295,163.83385,163.83638
2026-04-22,174.14,183.0915,174.14,179.27
2026-04-23,176.16591,180.8375,171.62,172.51
2026-04-24,176.48928,177.085,169.11,171.025
2026-04-27,170.76088,175.67072,167.71945,169.20701
2026-04-28,163.775,166.80514,159.75831,165.67499
2026-04-29,165.82,165.82,156.45655,158.13
2026-04-30,161.40962,166.79206,159.14053,165.40675
2026-05-01,166.51115,180.31424,166.51115,177.25001
