date,nav
2025-08-04,228.0607
2025-08-05,227.0293
2025-08-06,230.2435
2025-08-07,231.2135
2025-08-08,234.1815
2025-08-11,233.3266
2025-08-12,235.3101
2025-08-13,234.5610
2025-08-14,236.3871
2025-08-15,235.7607
2025-08-18,235.8839
2025-08-19,231.7994
2025-08-20,229.3727
2025-08-21,228.7233
2025-08-22,233.3642
2025-08-25,234.0821
2025-08-26,234.5585
2025-08-27,235.2318
2025-08-28,236.8575
2025-08-29,234.2153
2025-09-02,231.5261
2025-09-03,237.5044
2025-09-04,240.6108
2025-09-05,237.8031
2025-09-08,238.8346
2025-09-09,241.3037
2025-09-10,241.2350
2025-09-11,241.8053
2025-09-12,243.0748
2025-09-15,247.3487
2025-09-16,246.2847
2025-09-17,243.9157
2025-09-18,246.3693
2025-09-19,248.8985
2025-09-22,250.6990
2025-09-23,246.6323
2025-09-24,244.6860
2025-09-25,244.3482
2025-09-26,245.3279
2025-09-29,246.6455
2025-09-30,247.7692
2025-10-01,248.9745
2025-10-02,249.9048
2025-10-03,248.9552
2025-10-06,250.8962
2025-10-07,249.2096
2025-10-08,251.2079
2025-10-09,251.3870
2025-10-10,242.6406
2025-10-13,247.6616
2025-10-14,244.4565
2025-10-15,245.7906
2025-10-16,245.9945
2025-10-17,247.2987
2025-10-20,249.9817
2025-10-21,249.2350
2025-10-22,248.2403
2025-10-23,249.9625
2025-10-24,254.4037
2025-10-27,260.5498
2025-10-28,264.8640
2025-10-29,269.0502
2025-10-30,266.5399
2025-10-31,269.7565
2025-11-03,273.4881
2025-11-04,268.0393
2025-11-05,268.0842
2025-11-06,263.2452
2025-11-07,261.9625
2025-11-10,270.2997
2025-11-11,269.6773
2025-11-12,267.7093
2025-11-13,261.1444
2025-11-14,261.6945
2025-11-17,261.6125
2025-11-18,256.4066
2025-11-19,259.6783
2025-11-20,254.6163
2025-11-21,257.1721
2025-11-24,265.2106
2025-11-25,265.8766
2025-11-26,266.6314
2025-11-28,267.1008
2025-12-01,266.8283
2025-12-02,268.2977
2025-12-03,266.8962
2025-12-04,266.6472
2025-12-05,267.7033
2025-12-08,266.9041
2025-12-09,267.8213
2025-12-10,267.7534
2025-12-11,264.9774
2025-12-12,260.8459
2025-12-15,259.6192
2025-12-16,259.6958
2025-12-17,254.3997
2025-12-18,258.7666
2025-12-19,262.7264
2025-12-22,264.2529
2025-12-23,268.3823
2025-12-24,268.4658
2025-12-26,268.9049
2025-12-29,268.0345
2025-12-30,267.9785
2025-12-31,266.6030
2026-01-02,265.8424
2026-01-05,266.8490
2026-01-06,267.6451
2026-01-07,270.7766
2026-01-08,270.5214
2026-01-09,271.6202
2026-01-12,272.2201
2026-01-13,272.2275
2026-01-14,268.8026
2026-01-15,269.1353
2026-01-16,268.4640
2026-01-20,260.5127
2026-01-21,263.1441
2026-01-22,265.5393
2026-01-23,268.2798
2026-01-26,270.3174
2026-01-27,273.8948
2026-01-28,275.1166
2026-01-29,270.8160
2026-01-30,269.7700
2026-02-02,270.4066
2026-02-03,265.5088
2026-02-04,261.5600
2026-02-05,256.2099
2026-02-06,257.0208
2026-02-09,259.5155
2026-02-10,257.0448
2026-02-11,254.2937
2026-02-12,250.1633
2026-02-13,247.0543
2026-02-17,247.7428
2026-02-18,250.0063
2026-02-19,249.4399
2026-02-20,254.6187
2026-02-23,252.1871
2026-02-24,254.2011
2026-02-25,257.5290
2026-02-26,251.7873
2026-02-27,249.1554
2026-03-02,249.7201
2026-03-03,248.6572
2026-03-04,251.5811
2026-03-05,251.6456
2026-03-06,247.3841
2026-03-09,251.3189
2026-03-10,252.2921
2026-03-11,252.5905
2026-03-12,248.9648
2026-03-13,245.9523
2026-03-16,249.4673
2026-03-17,251.1961
2026-03-18,247.4887
2026-03-19,246.1815
2026-03-20,241.1547
2026-03-23,243.8444
2026-03-24,239.0345
2026-03-25,241.1220
2026-03-26,234.7435
2026-03-27,228.7828
2026-03-30,228.0723
2026-03-31,238.2337
2026-04-01,241.6139
2026-04-02,242.1031
2026-04-06,244.0787
2026-04-07,245.3821
2026-04-08,251.9947
2026-04-09,255.4140
2026-04-10,257.3468
2026-04-13,260.2402
2026-04-14,268.2835
2026-04-15,272.7237
2026-04-16,273.0410
2026-04-17,276.7686
2026-04-20,275.2310
2026-04-21,273.3166
2026-04-22,278.7454
2026-04-23,275.9093
2026-04-24,282.6630
2026-04-27,286.1754
2026-04-28,285.1716
2026-04-29,284.1308
2026-04-30,288.9279
2026-05-01,290.8920
2026-05-04,290.6293
2026-05-05,292.0599
2026-05-06,299.3999
2026-05-07,301.5624
