date,nav
2025-02-20,206.3859
2025-02-21,201.1028
2025-02-24,198.5528
2025-02-25,195.7192
2025-02-26,196.4895
2025-02-27,189.4296
2025-02-28,192.9209
2025-03-03,185.7161
2025-03-04,187.0589
2025-03-05,190.1732
2025-03-06,185.7431
2025-03-07,186.6380
2025-03-10,179.0629
2025-03-11,179.0590
2025-03-12,182.6092
2025-03-13,179.3078
2025-03-14,184.1374
2025-03-17,182.8237
2025-03-18,179.2214
2025-03-19,181.9955
2025-03-20,181.6818
2025-03-21,182.8605
2025-03-24,186.7720
2025-03-25,188.4034
2025-03-26,182.9900
2025-03-27,181.7766
2025-03-28,175.5965
2025-03-31,174.7782
2025-04-01,177.1898
2025-04-02,178.2089
2025-04-03,167.0286
2025-04-04,158.8983
2025-04-07,160.4323
2025-04-08,157.3848
2025-04-09,177.3485
2025-04-10,169.7030
2025-04-11,174.0133
2025-04-14,174.4624
2025-04-15,173.5072
2025-04-16,166.8853
2025-04-17,164.8595
2025-04-21,160.1336
2025-04-22,164.3077
2025-04-23,169.3475
2025-04-24,174.4451
2025-04-25,177.7011
2025-04-28,176.4173
2025-04-29,176.6878
2025-04-30,175.8326
2025-05-01,181.6422
2025-05-02,183.6141
2025-05-05,182.1648
2025-05-06,181.1739
2025-05-07,179.8139
2025-05-08,182.0165
2025-05-09,181.6964
2025-05-12,190.7243
2025-05-13,194.0842
2025-05-14,197.5337
2025-05-15,195.9048
2025-05-16,196.9204
2025-05-19,197.4301
2025-05-20,195.6548
2025-05-21,194.3468
2025-05-22,195.7742
2025-05-23,193.2021
2025-05-27,198.2278
2025-05-28,197.4394
2025-05-29,198.9874
2025-05-30,197.4967
2025-06-02,198.3876
2025-06-03,199.0445
2025-06-04,200.0410
2025-06-05,199.7549
2025-06-06,203.4538
2025-06-09,205.0490
2025-06-10,206.2890
2025-06-11,204.5100
2025-06-12,205.3869
2025-06-13,203.1829
2025-06-16,206.0469
2025-06-17,205.0478
2025-06-18,204.7090
2025-06-20,202.0467
2025-06-23,202.4044
2025-06-24,205.2251
2025-06-25,208.6503
2025-06-26,211.1040
2025-06-27,214.3248
2025-06-30,213.7132
2025-07-01,211.9464
2025-07-02,214.2356
2025-07-03,216.7292
2025-07-07,215.1697
2025-07-08,214.2834
2025-07-09,217.2073
2025-07-10,217.7773
2025-07-11,219.3596
2025-07-14,219.3299
2025-07-15,222.1167
2025-07-16,222.0316
2025-07-17,223.4997
2025-07-18,224.0612
2025-07-21,225.8346
2025-07-22,224.0757
2025-07-23,225.0776
2025-07-24,227.9601
2025-07-25,228.2998
2025-07-28,229.3426
2025-07-29,229.0413
2025-07-30,230.2537
2025-07-31,231.4683
2025-08-01,223.9259
