date,open,high,low,close
2026-02-02,238.3599,245.59227,238.3599,242.895
2026-02-03,244.83572,246.16598,235.47999,238.72722
2026-02-04,238.92521,238.92521,231.83588,232.95355
2026-02-05,225.01546,226.17351,220.48941,222.79978
2026-02-06,203.22408,211.21117,200.58137,210.21752
2026-02-09,208.86502,212.76249,203.40109,208.74136
2026-02-10,208.76094,212.58268,206.47712,207.01
2026-02-11,208.01,208.49846,202.5102,204.21249
2026-02-12,203.96041,204.00658,197.59026,199.53055
2026-02-13,198.92498,201.14326,197.31673,198.73102
2026-02-17,198.50947,201.68636,196.16921,201.21005
2026-02-18,202.20902,206.845,201.83578,204.66
2026-02-19,204.07097,205.61,202.90134,204.87
2026-02-20,204.87999,211.12,203.92928,210.1684
2026-02-23,208.42763,208.42763,203.13019,205.24211
2026-02-24,205.39242,210.34722,203.36849,208.51064
2026-02-25,210.38522,211.54997,208.93783,210.65506
2026-02-26,210.74401,210.94106,205.3526,207.8764
2026-02-27,206.78021,210.3,205.27003,209.98
2026-03-02,204.56849,209.67738,203.76285,208.38576
2026-03-03,203.34956,209.14997,202.6,208.72415
2026-03-04,210.43499,217.48,210.275,216.88008
2026-03-05,216.10691,220.35501,215.76492,218.89
2026-03-06,215.0948,217.245,212.62502,213.206
2026-03-09,210.45002,213.76978,207.16732,213.48
2026-03-10,214.09608,215.63109,212.45978,214.32549
2026-03-11,215.68566,216.80839,211.38308,212.615
2026-03-12,210.44026,211.62199,208.19332,209.54006
2026-03-13,209.53394,210.49828,206.26329,207.63066
2026-03-16,208.57513,212.64,207.51453,211.88
2026-03-17,212.82969,215.67,212.605,215.325
2026-03-18,213.9965,214.86507,208.84346,209.82146
2026-03-19,207.1044,209.00649,206.12502,208.86499
2026-03-20,207.85462,208.19879,204.33938,205.395
2026-03-23,209.2868,212.74503,209.17811,210.28999
2026-03-24,207.93936,209.01,206.71,207.23999
2026-03-25,211.67469,212.98004,209.94116,211.71
2026-03-26,210.51587,212.83915,207.19999,207.68204
2026-03-27,206.39533,206.74023,199.17,199.40413
2026-03-30,201.55521,203.77858,200.00502,201.01905
2026-03-31,204.84532,210.2596,204.23,208.32
2026-04-01,210.51502,213.53521,208.27,210.49749
2026-04-02,206.583,211.9601,205.06009,209.70507
2026-04-06,209.6921,212.90294,209.6921,212.76819
2026-04-07,211.22971,213.93305,209.13542,213.93305
2026-04-08,223.68588,225.09398,219.69192,221.28747
2026-04-09,225.16752,233.79,223.44544,233.33505
2026-04-10,235.14963,240.41,235.13603,238.34957
2026-04-13,237.46,239.99,235.83082,239.896
2026-04-14,241.88901,252.11,241.79668,248.97969
2026-04-15,249.23667,249.82254,247.21702,248.461
2026-04-16,248.57,249.74089,244.2624,249.4645
2026-04-17,254.76187,256.11754,250.13499,250.45502
2026-04-20,249.28965,249.58915,245.38846,248.3025
2026-04-21,254.95577,254.95577,249.186,249.849
2026-04-22,252.325,255.88999,250.41967,255.34797
2026-04-23,255.42003,258.78362,253.12748,255.08503
2026-04-24,259.70641,264.36504,257.76598,263.93
2026-04-27,263.11406,263.67673,260.46,261.07899
2026-04-28,258.42001,260.9885,256.94795,259.73
2026-04-29,257.99364,265.875,257.82103,262.94296
2026-04-30,273.23515,273.38341,256.23906,265.00002
2026-05-01,265.6358,273.27176,262.83003,268.334
