date,open,high,low,close
2025-05-07,393.01923,395.95,388.52767,392.28616
2025-05-08,407.24463,422.735,404.713,413.83322
2025-05-09,419.919,429.86956,406.5676,416.08096
2025-05-12,417.97446,421.04642,401.0282,404.8156
2025-05-13,407.99524,422.23546,404.38572,421.71
2025-05-14,421.34136,425.61434,410.58553,416.55841
2025-05-15,414.19976,415.51354,394.32497,397.1195
2025-05-16,399.23445,406.765,389.28815,399.68301
2025-05-19,393.7455,414.46499,393.43,413.43456
2025-05-20,413.41637,417.68501,406.37352,417.505
2025-05-21,416.23,423.1123,396.02014,402.54259
2025-05-22,412.46097,425.54646,399.04194,399.73844
2025-05-23,396.22574,396.22574,367.95127,369.48071
2025-05-27,379.52307,380.75118,364.455,372.23942
2025-05-28,369.37927,369.78865,358.7274,364.41
2025-05-29,369.29962,373.76519,362.886,370.79
2025-05-30,370.04397,372.3055,359.27584,369.25275
2025-06-02,368.34488,377.62387,367.76498,372.34
2025-06-03,379.12025,390.72519,372.145,387.46696
2025-06-04,386.33808,386.33808,375.77538,378.12504
2025-06-05,383.22769,384.8974,364.55,368.8
2025-06-06,372.98617,380.45001,369.91632,374.685
2025-06-09,378.77297,394.70901,377.795,392.01674
2025-06-10,392.69443,393.62303,383.82001,391.18865
2025-06-11,391.25498,392.43013,380.63184,387.23732
2025-06-12,382.34572,390.95506,374.43,379.95665
2025-06-13,376.77135,383.449,370.758,382.861
2025-06-16,383.10972,387.59317,377.74098,382.09491
2025-06-17,376.9561,378.30364,367.30499,375.14744
2025-06-18,372.75183,374.53,367.56201,369.05538
2025-06-20,372.1017,375.26662,365.31955,370.03
2025-06-23,363.08417,370.00866,359.20563,367.46951
2025-06-24,373.1603,384.133,371.49041,376.8426
2025-06-25,377.22744,389.3572,377.22744,388.71
2025-06-26,386.26578,392.14341,384.1968,386.4335
2025-06-27,385.37753,397.89086,383.85412,383.9
2025-06-30,386.26236,407.31907,384.67,404.275
2025-07-01,396.30204,398.25348,373.16,373.47833
2025-07-02,380.82274,405.10998,378.5344,402.18625
2025-07-03,401.80171,414.30323,401.13065,404.04579
2025-07-07,403.26722,405.38383,395.67966,395.74
2025-07-08,397.95646,401.46105,393.44,396.99023
2025-07-09,399.03584,416.08,396.2049,415.55709
2025-07-10,412.86965,422.18797,411.59014,421.76665
2025-07-11,430.64416,438.635,423.70839,434.52621
2025-07-14,446.11596,456.301,440.74602,451.19723
2025-07-15,446.68518,456.39985,441.27001,442.072
2025-07-16,447.76866,457.05575,445.97164,455.80593
2025-07-17,451.89105,455.81942,447.945,451.58683
2025-07-18,452.2477,453.99971,422.36536,423.1825
2025-07-21,429.14958,436.80393,425.10502,426.3512
2025-07-22,427.56855,433.73,414.18202,426.74079
2025-07-23,426.15728,426.15728,406.28941,412.47122
2025-07-24,414.44019,419.89507,406.40705,415.08675
2025-07-25,406.55533,410.85003,402.4753,405.76
2025-07-28,406.25807,416.63706,403.73814,403.91298
2025-07-29,405.18829,406.67947,390.61358,395.0337
2025-07-30,395.50492,404.18721,392.85081,395.09178
2025-07-31,399.03259,410.625,397.34043,402.13616
2025-08-01,395.80279,395.80279,366.20671,366.96196
2025-08-04,371.63809,389.81,366.59908,389.29
2025-08-05,386.09332,387.99539,373.60065,375.4525
2025-08-06,374.93,384.28565,373.2689,383.44
2025-08-07,387.77345,406.08207,387.54269,402.12961
2025-08-08,400.54583,409.47965,389.13075,395.14296
2025-08-11,400.42264,413.98499,399.0832,400.42238
2025-08-12,400.64462,401.25537,390.695,394.412
2025-08-13,396.85503,398.78918,383.733,389.88622
2025-08-14,380.19284,380.647,365.22017,372.93832
2025-08-15,372.74454,372.75914,360.2363,366.39
2025-08-18,363.63967,367.52078,358.38279,363.52043
2025-08-19,363.28183,364.08201,333.535,336.54352
2025-08-20,339.236,345.21139,325.76526,344.41251
2025-08-21,340.21073,343.18,334.97716,337.57965
2025-08-22,335.81278,359.27731,332.99135,358.23
2025-08-25,346.02535,351.41124,339.373,343.22982
2025-08-26,342.54485,351.84996,341.11463,351.37789
2025-08-27,349.7393,351.49852,341.92,342.11399
2025-08-28,343.69272,347.76417,336.79434,338.94111
2025-08-29,338.62053,339.57582,332.915,334.505
2025-09-02,334.79326,348.48305,332.29891,341.659
2025-09-03,341.51932,344.36289,327.725,330.28067
2025-09-04,329.81047,332.31112,317.98017,327.45575
2025-09-05,334.61,337.09739,320.32414,336.00238
2025-09-08,333.00108,333.00108,322.13613,329.96514
2025-09-09,330.14075,331.56531,324.575,328.56328
2025-09-10,332.32,339.808,322.07469,326.53749
2025-09-11,326.56108,329.61057,322.97957,326.07
2025-09-12,328.06603,336.01015,328.02182,331.512
2025-09-15,330.27601,330.86028,320.6,327.97694
2025-09-16,328.19338,335.31155,325.17935,335.04509
2025-09-17,335.4652,340.02013,323.30517,329.58024
2025-09-18,335.48778,358.1602,334.98598,349.41503
2025-09-19,348.92095,352.71,337.205,345.01504
2025-09-22,337.85117,341.44999,329.43953,335.7819
2025-09-23,336.634,338.75982,327.99816,327.99816
2025-09-24,330.19063,336.86404,323.23502,323.31921
