date,nav
2026-02-04,200.7218
2026-02-05,184.4741
2026-02-06,187.6309
2026-02-09,188.0332
2026-02-10,184.7728
2026-02-11,178.7140
2026-02-12,170.2777
2026-02-13,181.5496
2026-02-17,183.6326
2026-02-18,184.3268
2026-02-19,185.3849
2026-02-20,190.7875
2026-02-23,182.6986
2026-02-24,185.2715
2026-02-25,197.3111
2026-02-26,194.4400
2026-02-27,192.9575
2026-03-02,196.7964
2026-03-03,195.5074
2026-03-04,212.8286
2026-03-05,212.3277
2026-03-06,205.2016
2026-03-09,206.6033
2026-03-10,205.4428
2026-03-11,205.6480
2026-03-12,201.4136
2026-03-13,201.6174
2026-03-16,207.6225
2026-03-17,212.8041
2026-03-18,206.0582
2026-03-19,205.8525
2026-03-20,201.4550
2026-03-23,205.4908
2026-03-24,194.0841
2026-03-25,196.3788
2026-03-26,190.5169
2026-03-27,180.3021
2026-03-30,180.9270
2026-03-31,191.4780
2026-04-01,191.7362
2026-04-02,190.5992
2026-04-06,193.7666
2026-04-07,194.5791
2026-04-08,198.2037
2026-04-09,201.1951
2026-04-10,203.0823
2026-04-13,207.2201
2026-04-14,216.8218
2026-04-15,222.1951
2026-04-16,224.6448
2026-04-17,228.4229
2026-04-20,229.9988
2026-04-21,222.8770
2026-04-22,230.8159
2026-04-23,226.5524
2026-04-24,231.8350
2026-04-27,228.8939
2026-04-28,226.9300
2026-04-29,222.3640
2026-04-30,226.4280
2026-05-01,229.8070
2026-05-04,237.4541
