date,open,high,low,close
2026-02-02,187.22,190.2774,184.93,185.65506
2026-02-03,186.10051,186.135,176.26587,180.37751
2026-02-04,179.41,179.62124,171.95,174.29008
2026-02-05,174.92449,176.71625,171.135,172.055
2026-02-06,176.38,186.91722,174.807,185.43
2026-02-09,184.23926,193.56618,184.23926,189.987
2026-02-10,191.43424,192.33,188.19399,188.63003
2026-02-11,192.4302,193.12999,188.81281,190.26422
2026-02-12,192.97481,193.51243,186.56501,186.88031
2026-02-13,187.55963,187.55963,181.6225,182.78005
2026-02-17,181.75001,187.12109,179.27653,184.94654
2026-02-18,188.65488,190.345,186.78516,187.78
2026-02-19,187.05961,188.38347,185.69269,187.86967
2026-02-20,186.56222,190.29499,186.06392,189.72367
2026-02-23,191.36109,193.7715,189.60723,191.47016
2026-02-24,191.25859,193.74503,187.49505,192.8275
2026-02-25,194.46,197.60321,193.86785,195.58613
2026-02-26,194.37103,194.37751,184.33082,184.84492
2026-02-27,181.18722,182.545,176.49339,177.37463
2026-03-02,174.98193,183.42,174.97004,182.469
2026-03-03,178.4085,180.88,176.94888,180.00389
2026-03-04,180.47799,184.67725,180.19782,183.96927
2026-03-05,181.19,184.028,177.98875,183.37316
2026-03-06,179.78928,182.71815,176.89346,177.915
2026-03-09,176.95107,182.85249,175.67076,182.47733
2026-03-10,182.43246,186.39548,182.08005,184.86162
2026-03-11,185.89158,187.55556,184.5172,186.07715
2026-03-12,184.07201,184.91592,181.77803,183.29798
2026-03-13,185.02982,185.99925,179.9658,180.24668
2026-03-16,182.96927,188.67341,181.61649,183.34168
2026-03-17,185.0525,185.0525,181.71574,181.98489
2026-03-18,182.51,183.30555,180.38,180.385
2026-03-19,178.00891,179.94892,175.87237,178.71726
2026-03-20,178.19001,178.3299,171.75993,173.14205
2026-03-23,177.31787,178.32567,174.77,175.67488
2026-03-24,175.11958,176.19502,174.04001,175.36283
2026-03-25,177.23647,181.19238,177.05389,178.72
2026-03-26,176.40541,176.40541,171.155,171.33
2026-03-27,170.02467,170.94502,167.1,167.49002
2026-03-30,168.81984,169.3625,164.31502,165.21861
2026-03-31,167.03994,174.54413,166.993,174.45043
2026-04-01,176.03979,177.36293,174.83983,175.73503
2026-04-02,172.098,177.46693,171.43804,177.384
2026-04-06,177.215,177.66,175.8175,177.5825
2026-04-07,175.82,178.17992,173.7,178.15464
2026-04-08,184.55879,184.95,180.38,182.15103
2026-04-09,181.84037,184.05,180.66001,183.94503
2026-04-10,184.45697,189.98501,184.33501,188.50506
2026-04-13,186.05268,189.61504,185.83571,189.26285
2026-04-14,190.81091,196.44606,190.81091,196.44002
2026-04-15,196.545,200.29443,195.76737,198.9
2026-04-16,197.49565,199.8303,195.88897,198.318
2026-04-17,199.32764,201.68399,199.32764,201.6375
2026-04-20,199.96138,202.14685,197.85093,202.11947
2026-04-21,202.13461,202.58953,199.01569,199.89
2026-04-22,200.91952,202.473,199.34861,202.45626
2026-04-23,202.20314,203.78093,197.25079,199.54974
2026-04-24,199.66278,210.92105,199.66278,208.2225
2026-04-27,209.38364,216.79368,207.447,216.545
2026-04-28,209.54996,214.705,208.38,212.73096
2026-04-29,212.70053,212.713,207.60475,209.1352
2026-04-30,209.6385,210.13,198.81,199.58
2026-05-01,201.15398,202.858,197.2,198.41
